Cafe_URL,Reviewer_Name,Rating,Review_Text,Sentiment_Label,Sentiment_Score,Topic
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Akash Raj,5,great experience sri sri cafe atmosphere pleasant welcoming tried unlimited gujarati thali simple homestyle food absolutely satisfying stomachfilling taste reminds,POSITIVE,0.9996902942657471,2
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Simran Fathima,5,pizza bestas said service hygiene taste price cafe truly amazed hogged onto several yummy starter soft cheesy garlic bread cheese pop main course try special,POSITIVE,0.7193058133125305,-1
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Uday,5,unlimited gujrati thali amazing super deliciousbest place savour authentic gujrati dishesthe staff generous owner uncle friendly,POSITIVE,0.9994949102401733,-1
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Amrita Chattopadhyay,5,food delicious place clean staff member good ordering process unique scan order innovative way price also reasonable portion good place nice ambience wallpaper beautiful loved food loved place highly recommended,POSITIVE,0.9998093247413635,0
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Dharam Hinduja,5,one place discovered chance delighted result lovely place normal ambience,POSITIVE,0.9997050166130066,0
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Navya S,4,enjoyed home cooked pizza cafe inspired art living institute,POSITIVE,0.9997966885566711,0
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Oorja Saxena,5,food awesomethey daily make handmade dough saucesu feel freshness st bitepricing convenient studentsvibes goodu spend cozy weekend family dinner,POSITIVE,0.9985169768333435,-1
"https://www.google.com/maps/place/Sri+Sri+Cafe/@12.9093903,77.5348263,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d9a4fa523b:0xd66b75fe303ea443!8m2!3d12.9093903!4d77.5642736!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11pkljjp6p?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",b m venkatesh,2,never anticipate gujarathi taste ordinary food may get better bangalore rice hard horrible chew worh visiting,NEGATIVE,0.9926058053970337,2
"https://www.google.com/maps/place/Season's+Cafe/@12.912024,77.5320533,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d8711029f5:0x2415d554c63820fb!8m2!3d12.912024!4d77.5670722!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11kblccpq9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Ashwini Mahesh,4,visited cafe inauguration day tried dish liked fried chicken fried wing french fry taste quality chicken really good inaugural offer going price,POSITIVE,0.988788902759552,0
"https://www.google.com/maps/place/Season's+Cafe/@12.912024,77.5320533,13z/data=!4m13!1m3!2m2!1scafe+near+dayananda+sagar+college!6e5!3m8!1s0x3bae15d8711029f5:0x2415d554c63820fb!8m2!3d12.912024!4d77.5670722!9m1!1b1!15sCiFjYWZlIG5lYXIgZGF5YW5hbmRhIHNhZ2FyIGNvbGxlZ2VaIyIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdlkgEEY2FmZaoBXwoJL20vMGRsbWhtEAEqCCIEY2FmZSgAMh8QASIb879OBPQQ7vV_044Hp_tvPcUf6S0yQ6lAoLDhMiUQAiIhY2FmZSBuZWFyIGRheWFuYW5kYSBzYWdhciBjb2xsZWdl4AEA!16s%2Fg%2F11kblccpq9?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcyOC4wIKXMDSoASAFQAw%3D%3D",Sahil Shet,2,worst waffle lifeburnt outside yet uncooked soggy inside bitter completely inedible worth single rupee let alone paid experience complete disappointment regret even trying avoid cost,NEGATIVE,0.9993152618408203,1
